epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.4,2.18776,1.48351,1.09589,0.62707,0.46703,0.51081,0.21446,2.04844,1.32772,1.09689,0.000665843,0.000665843,0.000665843
2,1039.27,2.21381,1.5161,1.09705,0.6438,0.50676,0.55194,0.2344,2.01484,1.38436,1.06562,0.00128854,0.00128854,0.00128854
3,1539.61,2.20064,1.4907,1.08523,0.63704,0.47398,0.52507,0.22606,2.00174,1.33056,1.06443,0.00186723,0.00186723,0.00186723
4,2037.92,2.15249,1.44556,1.07102,0.68023,0.54399,0.58998,0.25685,1.93861,1.26046,1.04486,0.001802,0.001802,0.001802
5,2537.73,2.13225,1.41076,1.06446,0.68909,0.54055,0.59633,0.256,1.93343,1.22575,1.04037,0.001736,0.001736,0.001736
6,3037.11,2.09498,1.35639,1.05405,0.68524,0.52667,0.5876,0.2588,1.93269,1.20304,1.04213,0.00167,0.00167,0.00167
7,3534.08,2.08044,1.34281,1.04836,0.68045,0.54728,0.60533,0.26776,1.89662,1.15857,1.03201,0.001604,0.001604,0.001604
8,4033.21,2.06466,1.30589,1.0369,0.69689,0.53962,0.61084,0.27696,1.87537,1.16501,1.02784,0.001538,0.001538,0.001538
9,4531.48,2.0437,1.28497,1.03607,0.7106,0.56403,0.6343,0.28475,1.85774,1.09635,1.01639,0.001472,0.001472,0.001472
10,5031.16,2.02113,1.25325,1.02381,0.71575,0.58336,0.64678,0.29413,1.85202,1.1008,1.01724,0.001406,0.001406,0.001406
11,5528.65,2.00352,1.22655,1.02067,0.71968,0.58451,0.65369,0.29867,1.83716,1.08537,1.01457,0.00134,0.00134,0.00134
12,6025.83,2.00604,1.2228,1.0159,0.69674,0.5785,0.63467,0.28258,1.8326,1.08858,1.01134,0.001274,0.001274,0.001274
13,6522.92,1.97484,1.19613,1.01625,0.74292,0.58873,0.66238,0.30838,1.79628,1.05024,1.00307,0.001208,0.001208,0.001208
14,7019.5,1.96511,1.18304,1.01083,0.74109,0.61436,0.67891,0.31407,1.7909,1.05004,1.00179,0.001142,0.001142,0.001142
15,7510.36,1.95055,1.18036,1.00744,0.73416,0.60181,0.66967,0.30947,1.80144,1.0381,1.00325,0.001076,0.001076,0.001076
16,7990.51,1.94206,1.15554,1.00334,0.73651,0.60872,0.67588,0.31594,1.77754,1.02992,0.99834,0.00101,0.00101,0.00101
17,8472.06,1.93439,1.1465,1.00073,0.74717,0.60004,0.67795,0.3173,1.76504,1.03294,0.99142,0.000944,0.000944,0.000944
18,8953.42,1.92616,1.14014,1.00116,0.74427,0.61274,0.68292,0.32246,1.76526,1.00518,0.99408,0.000878,0.000878,0.000878
19,9448.15,1.91657,1.12133,0.99921,0.75862,0.62037,0.69284,0.32739,1.76998,0.99844,0.99383,0.000812,0.000812,0.000812
20,9943.22,1.90518,1.10659,0.99379,0.75805,0.61522,0.69195,0.325,1.76032,1.00976,0.98796,0.000746,0.000746,0.000746
21,10421.1,1.89962,1.12321,1.00751,0.75487,0.62274,0.69486,0.3279,1.76818,1.00054,0.99328,0.00068,0.00068,0.00068
22,10899.8,1.89028,1.11209,1.0039,0.75723,0.62008,0.69081,0.32608,1.75638,1.00195,0.98995,0.000614,0.000614,0.000614
23,11375.5,1.87653,1.09291,0.99851,0.75342,0.62556,0.70026,0.33029,1.75482,0.99579,0.98793,0.000548,0.000548,0.000548
24,11851.4,1.88061,1.09222,0.99982,0.7715,0.62581,0.70389,0.33344,1.75294,0.97938,0.98768,0.000482,0.000482,0.000482
25,12327.9,1.85052,1.06578,0.99475,0.76076,0.63383,0.70481,0.33566,1.73831,0.97222,0.98616,0.000416,0.000416,0.000416
26,12805.7,1.83839,1.05293,0.99312,0.75628,0.63813,0.70898,0.33937,1.73857,0.96351,0.98357,0.00035,0.00035,0.00035
27,13282.2,1.83918,1.0469,0.99066,0.76372,0.64257,0.71271,0.34063,1.73167,0.9564,0.9827,0.000284,0.000284,0.000284
28,13759.6,1.82805,1.03191,0.98757,0.76676,0.64772,0.71601,0.34339,1.73026,0.94924,0.98288,0.000218,0.000218,0.000218
29,14236.2,1.80833,1.00948,0.98513,0.76583,0.64218,0.71442,0.34267,1.72467,0.94893,0.97992,0.000152,0.000152,0.000152
30,14711.3,1.81746,1.01156,0.98219,0.77089,0.64371,0.71672,0.34502,1.71642,0.94354,0.9795,8.6e-05,8.6e-05,8.6e-05
