method,ratio,precision@3,recall@3,n_matches
sift,0.6,0.9906,0.4281,724.0
sift,0.65,0.986,0.4621,785.2
sift,0.7,0.9796,0.4891,836.6
sift,0.75,0.9671,0.5113,885.9
sift,0.8,0.9424,0.5304,942.4
sift,0.85,0.8977,0.5454,1016.7
sift,0.9,0.8141,0.5569,1143.5
sift,0.95,0.6745,0.5672,1405.3
orb,0.6,0.9614,0.1571,302.4
orb,0.65,0.9541,0.205,397.1
orb,0.7,0.9445,0.2549,497.6
orb,0.75,0.9318,0.3081,608.2
orb,0.8,0.9105,0.3662,737.6
orb,0.85,0.8709,0.4276,895.5
orb,0.9,0.8067,0.4887,1102.0
orb,0.95,0.7019,0.5506,1431.0
tinydesc,0.6,0.9822,0.3137,536.6
tinydesc,0.65,0.9781,0.3685,632.9
tinydesc,0.7,0.9698,0.4184,724.3
tinydesc,0.75,0.9559,0.46,806.8
tinydesc,0.8,0.9293,0.494,889.8
tinydesc,0.85,0.8791,0.5218,990.6
tinydesc,0.9,0.7929,0.5459,1148.1
tinydesc,0.95,0.6577,0.5652,1434.4
