condition,method,PSNR,SSIM,ms,n_images
motion15_n2,none,22.81,0.5421,0.3,12
motion15_n2,inverse,8.36,0.076,101.2,12
motion15_n2,wiener,25.62,0.7073,95.0,12
motion15_n2,rl20,25.73,0.7168,3299.5,12
motion15_n2,unsharp,22.37,0.5154,3.1,12
motion15_n2,gaussian,22.82,0.534,1.4,12
motion25_n5,none,21.68,0.4798,0.4,12
motion25_n5,inverse,6.01,0.0249,179.2,12
motion25_n5,wiener,22.9,0.573,213.1,12
motion25_n5,rl20,23.4,0.5773,5083.6,12
motion25_n5,unsharp,20.75,0.3925,6.0,12
motion25_n5,gaussian,21.89,0.5043,3.0,12
defocus7_n2,none,22.42,0.4799,0.8,12
defocus7_n2,inverse,6.31,0.0305,212.7,12
defocus7_n2,wiener,24.85,0.6296,242.7,12
defocus7_n2,rl20,24.13,0.5846,5608.2,12
defocus7_n2,unsharp,22.22,0.4501,7.1,12
defocus7_n2,gaussian,22.47,0.4891,2.9,12
noise15,none,24.75,0.7098,0.6,12
noise15,gaussian,27.02,0.7621,4.4,12
noise15,median,27.54,0.7828,1.3,12
noise15,bilateral,30.19,0.8655,9.6,12
noise15,nlm,27.94,0.7563,784.3,12
noise15,butterworth,25.64,0.6795,168.3,12
noise25,none,20.47,0.5256,0.5,12
noise25,gaussian,24.76,0.6322,3.8,12
noise25,median,25.41,0.6925,1.1,12
noise25,bilateral,26.89,0.7564,6.9,12
noise25,nlm,25.46,0.6517,594.9,12
noise25,butterworth,25.25,0.6653,152.5,12
saltpepper4,none,19.03,0.4784,0.8,12
saltpepper4,gaussian,25.15,0.6473,6.0,12
saltpepper4,median,26.5,0.721,4.7,12
saltpepper4,bilateral,18.95,0.4263,16.3,12
saltpepper4,nlm,21.06,0.5068,1204.1,12
saltpepper4,butterworth,24.96,0.6308,290.3,12
