condition,method,PSNR,SSIM,ms,n_images
motion15_n2,none,23.79,0.6306,0.0,200
motion15_n2,inverse,8.36,0.067,109.0,200
motion15_n2,wiener,25.89,0.6787,94.8,200
motion15_n2,rl20,26.71,0.7563,3162.3,200
motion15_n2,unsharp,23.28,0.589,3.9,200
motion15_n2,gaussian,23.82,0.631,2.3,200
motion25_n5,none,22.52,0.5518,0.0,200
motion25_n5,inverse,6.06,0.0225,111.5,200
motion25_n5,wiener,23.46,0.5911,95.0,200
motion25_n5,rl20,24.07,0.5954,3129.2,200
motion25_n5,unsharp,21.4,0.4209,4.6,200
motion25_n5,gaussian,22.82,0.6029,3.1,200
defocus7_n2,none,23.33,0.5828,0.0,200
defocus7_n2,inverse,6.35,0.0274,96.7,200
defocus7_n2,wiener,25.48,0.655,81.5,200
defocus7_n2,rl20,25.15,0.6681,2703.6,200
defocus7_n2,unsharp,23.07,0.5402,2.0,200
defocus7_n2,gaussian,23.39,0.5956,0.9,200
noise15,none,24.74,0.6433,0.0,200
noise15,gaussian,28.07,0.8072,1.0,200
noise15,median,28.1,0.7953,0.6,200
noise15,bilateral,30.77,0.8643,41.0,200
noise15,nlm,29.31,0.8192,259.0,200
noise15,butterworth,26.69,0.7447,81.7,200
noise25,none,20.45,0.4583,0.0,200
noise25,gaussian,25.72,0.708,1.7,200
noise25,median,25.68,0.6848,0.5,200
noise25,bilateral,27.28,0.7482,40.8,200
noise25,nlm,26.66,0.7373,257.6,200
noise25,butterworth,26.12,0.7251,80.6,200
saltpepper4,none,19.11,0.4317,0.0,200
saltpepper4,gaussian,26.01,0.698,1.2,200
saltpepper4,median,27.81,0.7853,3.6,200
saltpepper4,bilateral,19.06,0.3959,40.8,200
saltpepper4,nlm,21.24,0.5155,254.8,200
saltpepper4,butterworth,25.78,0.6799,80.3,200
